x,y
2.2483570765056164,1.9308678494144076
2.3238442690503462,2.761514928204013
1.882923312638332,1.8829315215254097
2.7896064077536957,2.3837173645764542
1.765262807032524,2.2712800217929825
1.7682911535937689,1.7671351232148715
2.1209811357830173,1.043359877671101
1.1375410837434836,1.7188562353795136
1.4935844398327882,2.157123666297637
1.5459879622393946,1.2938481493323541
2.732824384460777,1.887111849756732
2.033764102343962,1.2876259068932716
1.7278086377374087,2.055461294854933
1.4245032112888487,2.1878490091728358
1.6996806550405976,1.8541531251033616
1.6991466938853015,2.926139092254469
1.993251387631033,1.4711445355220498
2.4112724560515946,1.3895781750144889
2.104431797502378,1.020164938060112
1.3359069755507846,2.0984306179345618
2.3692332899977053,2.085684140594985
1.9421758588058797,1.8494481522053556
1.2607390048162863,1.6400778958026456
1.7696806145201063,2.5285611131094576
2.1718091447842305,1.118479922318633
2.1620419846973977,1.8074588597918417
1.6615389998470207,2.305838144420434
2.5154997612479755,2.4656400595580994
1.5803912383886807,1.8453938120743927
2.165631715701782,2.4877725635611796
1.760412881077355,1.9071705116680915
1.446832512996986,1.4018966879596646
2.406262911197099,2.6781200142854114
1.963994939209833,2.501766448946012
2.180818012523817,1.6774401226974378
2.180697802754207,2.7690182832329846
1.9820869804450243,2.782321827907003
0.6901274479551278,2.410951252187612
2.043523534119086,1.8504963247670663
2.045880388267751,1.0062155426995536
1.890164056081244,2.178556285755873
2.738947022370758,1.7408648908631763
1.5957531985534061,1.7491214782077318
2.457701058851037,2.1643755548298422
1.7351198981164806,2.256633716556678
2.0485387746740202,2.4843224952664444
1.6489734530613238,1.8361689267011159
1.8039459234339212,1.2682425259339407
2.148060138532288,2.1305276360899446
2.0025567283212307,1.8827064333124266
5.292314628974793,5.78967733861732
5.828642741736616,5.59886136538919
5.919357144166995,6.20202542840727
6.943092950605265,6.087288906415919
6.128775195361382,5.962777042116916
5.040614392350479,5.986743062275392
6.0301151049705135,7.231621056242643
5.903819517609438,6.150773671166807
5.982644115147378,5.415660981190234
6.571411407257511,6.375966516343387
6.3955159735215235,5.54530627260263
6.701397155468049,5.29907446860386
6.293428546900135,7.095227812904989
5.504731837434655,5.716851135198614
6.049825682543821,5.7482621729419
5.224668284466934,6.034281487403014
5.468848143136947,6.23679621531759
5.540287882883098,6.77496720250877
5.608373353831881,5.838969241897162
6.406758608684835,5.3845678417830225
6.113729967302064,6.653571377141214
5.196258382719386,6.092316929266152
6.129941397124211,6.390911435888655
5.381524644560959,5.339771693457862
6.260970782808449,6.148492336616593
6.125246425172938,6.1732241047484875
5.659987639210755,6.116126848580501
6.14653623664934,5.642824290986816
6.932887255572378,6.236916460455894
5.404348251398676,6.328276804316915
5.5126591648863394,6.393542301871226
6.579297789503702,5.5896588408241445
6.481688064622161,6.206390463468249
6.411030079997245,6.948396491326974
5.877305941998565,5.623131917821255
5.555242785187239,5.592094857517281
5.961449145292948,6.170575987408322
6.13834539966501,6.413591624518012
6.006500945938954,6.726767038578658
5.867671583381022,7.360084583294809
6.312833673882503,5.571421221791859
5.4645537509694435,6.241236207621593
5.888268607337075,6.357000247046046
6.236618812286772,5.963585543671564
5.576603140965798,5.242576387657068
5.776742523966489,6.428199397161736
6.107046872065102,5.377130610644006
6.086590462925591,6.192658689864419
5.558071281899434,6.076862552972764
6.029104359223,5.428514851084689
10.178893680174141,2.280392263184117
10.541525621587638,2.5269010260174514
9.311165316021455,1.5310874800424386
10.25751763360433,2.2568929754561045
10.257523843153024,3.9263657453273604
10.285445255346584,2.5677828200902995
10.477000881746601,2.325695625652899
9.842365377679828,2.379484610246634
9.613587392731214,1.8815906966299956
9.757318226085449,2.0409370696931615
11.157329283336754,1.066367403704126
10.343130095187258,1.1936420644051742
9.764034067105284,2.544475298483683
10.032140009547732,1.461127611035347
9.642348145370017,2.3397988744673377
9.634816684141432,2.1082292947909873
10.022785919951907,1.6741998261970914
11.071972044662663,2.3169595111590056
8.987428706671196,2.093227157384714
9.669106767615807,2.426216667398112
9.60373963078365,1.9426317792665504
10.252493639490229,2.432877597085061
9.399851796472111,1.8327493820795258
9.762527344419523,1.6733353837131442
10.882727120140549,2.2024908554804776
9.369558022832477,2.458930973527388
11.061078098506316,2.5162326302755735
9.240315017022994,1.7578829635668742
10.633455574593311,1.6461652671906095
10.221909714073114,2.387317026714668
9.536534764210959,1.9702373219691
8.379366329965464,1.4878061793328552
9.87371592430342,1.3761084090175753
10.816205651965818,1.2849293110196838
9.779977756651508,2.0653702886430456
10.720636644533057,1.2820689244102803
10.581581876077479,2.0051165305097935
9.509245674476025,2.231051737131635
10.099529847786735,1.6998915614206027
10.03490104249501,1.80734320156912
10.056758672625625,2.3310653372605232
10.793008408072676,1.3810922505865755
11.066516687328134,1.023956100238749
9.924107452482207,2.2941586032422885
10.140495933867516,1.6886502400897032
9.895938874821363,1.7534995326705836
9.705317621527895,2.4248010485105125
10.178507742982523,1.6535452023696728
10.449799937716625,2.1536497604383045
10.40643105941948,2.314814420961806
